"filenames","NN_Pred_Median","Lower_Quantile_0.025","Upper_Quantile_0.975"
"SABL_COMBO2022_NIR0022C_PRD_325_102155185_O1",31.5213,27.2087,35.9288
"SABL_COMBO2022_NIR0022C_PRD_326_102155186_O1",10.5255,8.9035,12.3922
"SABL_COMBO2022_NIR0022C_PRD_327_102155187_O1",14.3217,12.3631,17.0154
"SABL_COMBO2022_NIR0022C_PRD_328_102155188_O1",4.3745,3.5952,5.3033
"SABL_COMBO2022_NIR0022C_PRD_329_102155189_O1",6.5586,5.4541,7.7563
"SABL_COMBO2022_NIR0022C_PRD_330_102155190_O1",7.4881,6.2591,9.025
"SABL_COMBO2022_NIR0022C_PRD_331_102155191_O1",0.9574,0.6837,1.1643
"SABL_COMBO2022_NIR0022C_PRD_332_102155192_O1",0.921,0.6408,1.1307
"SABL_COMBO2022_NIR0022C_PRD_333_102155193_O1",0.7731,0.4778,0.943
"SABL_COMBO2022_NIR0022C_PRD_334_102155194_O1",2.1911,1.6331,2.5369
"SABL_COMBO2022_NIR0022C_PRD_335_102155195_O1",1.9494,1.6611,2.4095
"SABL_COMBO2022_NIR0022C_PRD_336_102155196_O1",2.0699,1.7735,2.3753
"SABL_COMBO2022_NIR0022C_PRD_337_102155197_O1",2.6903,2.1909,3.531
"SABL_COMBO2022_NIR0022C_PRD_338_102155198_O1",2.2844,1.8831,2.6866
"SABL_COMBO2022_NIR0022C_PRD_339_102155199_O1",2.1565,1.8425,2.6155
"SABL_COMBO2022_NIR0022C_PRD_340_102155200_O1",2.3938,2.0128,2.9375
"SABL_COMBO2022_NIR0022D_PRD_341_102155201_O1",2.1179,1.7854,2.5864
"SABL_COMBO2022_NIR0022D_PRD_342_102155202_O1",1.779,1.4638,2.1415
"SABL_COMBO2022_NIR0022D_PRD_343_102155203_O1",5.4245,4.6988,6.4797
"SABL_COMBO2022_NIR0022D_PRD_344_102155204_O1",12.8266,10.897,14.5073
"SABL_COMBO2022_NIR0022D_PRD_345_102155205_O1",10.9121,9.1261,12.5707
"SABL_COMBO2022_NIR0022D_PRD_346_102155206_O1",11.3998,9.6364,13.3821
"SABL_COMBO2022_NIR0022D_PRD_347_102155207_O1",11.9086,9.9494,13.9173
"SABL_COMBO2022_NIR0022D_PRD_348_102155208_O1",39.9733,30.3436,52.2962
"SABL_COMBO2022_NIR0022D_PRD_349_102155209_O1",48.9845,43.0175,60.1778
"SABL_COMBO2022_NIR0022D_PRD_350_102155210_O1",18.8109,16.4087,21.295
"SABL_COMBO2022_NIR0022D_PRD_351_102155211_O1",29.0362,24.6302,33.4147
"SABL_COMBO2022_NIR0022D_PRD_352_102155212_O1",1.8366,1.5227,2.3812
"SABL_COMBO2022_NIR0022D_PRD_353_102155213_O1",2.4767,2.1016,3.0624
"SABL_COMBO2022_NIR0022D_PRD_354_102155214_O1",2.2568,1.949,2.6174
"SABL_COMBO2022_NIR0022D_PRD_355_102155215_O1",2.6216,2.2231,3.2018
"SABL_COMBO2022_NIR0022D_PRD_356_102155216_O1",1.0058,0.7232,1.2255
"SABL_COMBO2022_NIR0022D_PRD_357_102155217_O1",1.0702,0.8288,1.3003
"SABL_COMBO2022_NIR0022D_PRD_358_102155218_O1",1.9382,1.5783,2.3728
"SABL_COMBO2022_NIR0022D_PRD_359_102155219_O1",0.924,0.5785,1.1596
"SABL_COMBO2022_NIR0022D_PRD_360_102155070_O1",16.5211,14.6719,18.4513
"SABL_COMBO2022_NIR0022D_PRD_361_102155071_O1",14.2245,12.1962,17.0416
"SABL_COMBO2022_NIR0022D_PRD_362_102155222_O1",44.8826,39.9256,49.712
"SABL_COMBO2022_NIR0022D_PRD_363_102155223_O1",17.5098,15.5818,19.6463
"SABL_COMBO2022_NIR0022D_PRD_364_102155224_O1",15.2666,13.0184,17.896
"SABL_COMBO2022_NIR0022D_PRD_365_102155225_O1",15.4964,13.3182,18.1239
"SABL_COMBO2022_NIR0022D_PRD_366_102155226_O1",10.6107,8.9026,12.5016
"SABL_COMBO2022_NIR0022D_PRD_367_102155227_O1",12.1766,9.933,14.5978
"SABL_COMBO2022_NIR0022D_PRD_368_102155228_O1",2.111,1.7462,2.4785
"SABL_COMBO2022_NIR0022D_PRD_369_102155229_O1",2.2495,1.9085,2.7548
"SABL_COMBO2022_NIR0022D_PRD_370_102155230_O1",1.9187,1.582,2.5429
"SABL_COMBO2022_NIR0022D_PRD_371_102155231_O1",2.0731,1.7443,2.3801
"SABL_COMBO2022_NIR0022D_PRD_372_102155232_O1",1.437,1.1633,1.7716
"SABL_COMBO2022_NIR0022D_PRD_373_102155233_O1",1.2173,0.9843,1.4551
"SABL_COMBO2022_NIR0022D_PRD_374_102155234_O1",0.9822,0.5857,1.2034
"SABL_COMBO2022_NIR0022D_PRD_375_102155235_O1",34.9326,31.0348,38.7342
"SABL_COMBO2022_NIR0022D_PRD_376_102155236_O1",44.9311,36.796,57.8988
"SABL_COMBO2022_NIR0022D_PRD_377_102155237_O1",13.6701,11.4408,15.8473
"SABL_COMBO2022_NIR0022D_PRD_378_102155238_O1",11.0924,9.2486,12.9777
"SABL_COMBO2022_NIR0022D_PRD_379_102155239_O1",15.4558,12.6096,18.3914
"SABL_COMBO2022_NIR0022D_PRD_380_102155240_O1",27.3882,24.8005,30.7592
"SABL_COMBO2022_NIR0022D_PRD_381_102155241_O1",23.305,20.0904,26.6446
"SABL_COMBO2022_NIR0022D_PRD_382_102155242_O1",24.6553,21.5557,28.3075
"SABL_COMBO2022_NIR0022D_PRD_383_102155243_O1",19.1297,16.4464,21.8331
"SABL_COMBO2022_NIR0022D_PRD_384_102155244_O1",26.4594,23.175,29.7962
"SABL_COMBO2022_NIR0022D_PRD_385_102155245_O1",17.1682,14.9137,19.6161
"SABL_COMBO2022_NIR0022D_PRD_386_102155246_O1",21.4399,18.5202,24.9534
"SABL_COMBO2022_NIR0022D_PRD_387_102155247_O1",17.1253,14.3486,19.8266
"SABL_COMBO2022_NIR0022D_PRD_388_102155248_O1",30.3732,27.3146,33.8377
"SABL_COMBO2022_NIR0022D_PRD_389_102155249_O1",19.9939,18.0898,22.0515
"SABL_COMBO2022_NIR0022D_PRD_390_102155250_O1",9.2991,7.6345,11.1529
"SABL_COMBO2022_NIR0022D_PRD_391_102155251_O1",14.9838,12.0082,17.7739
"SABL_COMBO2022_NIR0022D_PRD_392_102155252_O1",6.1634,5.2122,7.5288
"SABL_COMBO2022_NIR0022D_PRD_393_102155253_O1",2.7137,2.2947,3.3099
"SABL_COMBO2022_NIR0022D_PRD_394_102155254_O1",7.6835,6.142,9.4667
"SABL_COMBO2022_NIR0022D_PRD_395_102155255_O1",9.9514,8.3231,11.5997
"SABL_COMBO2022_NIR0022D_PRD_396_102155256_O1",1.0493,0.7739,1.2792
"SABL_COMBO2022_NIR0022D_PRD_397_102155257_O1",0.9576,0.6779,1.1481
"SABL_COMBO2022_NIR0022D_PRD_398_102155258_O1",1.2387,0.9336,1.4945
"SABL_COMBO2022_NIR0022D_PRD_400_102155260_O1",2.4447,2.0838,2.8566
"SABL_COMBO2022_NIR0022D_PRD_401_102155261_O1",2.6425,2.0886,3.3193
"SABL_COMBO2022_NIR0022D_PRD_402_102155262_O1",10.991,8.932,13.0813
"SABL_COMBO2022_NIR0022D_PRD_403_102155263_O1",17.1212,14.9308,19.5086
"SABL_COMBO2022_NIR0022D_PRD_404_102155264_O1",2.8387,2.1086,3.6745
"SABL_COMBO2022_NIR0022D_PRD_405_102155265_O1",4.18,3.3431,5.1749
"SABL_COMBO2022_NIR0022D_PRD_406_102155266_O1",6.5343,5.1505,8.2449
"SABL_COMBO2022_NIR0022D_PRD_408_102155268_O1",11.5463,8.0326,14.9954
"SABL_COMBO2022_NIR0022D_PRD_409_102155269_O1",13.7355,11.8284,15.8705
"SABL_COMBO2022_NIR0022D_PRD_410_102155270_O1",8.5453,6.8158,10.6615
"SABL_COMBO2022_NIR0022D_PRD_411_102155271_O1",9.9285,7.7449,12.0568
"SABL_COMBO2022_NIR0022D_PRD_412_102155272_O1",7.1074,5.9503,8.4226
"SABL_COMBO2022_NIR0022D_PRD_413_102155273_O1",10.5003,8.2677,13.1166
"SABL_COMBO2022_NIR0022D_PRD_414_102155274_O1",6.2687,4.6397,8.0879
"SABL_COMBO2022_NIR0022D_PRD_415_102155275_O1",6.1339,5.0148,7.4213
"SABL_COMBO2022_NIR0022D_PRD_416_102155276_O1",3.9215,3.1406,4.8192
"SABL_COMBO2022_NIR0022D_PRD_417_102155277_O1",2.8519,2.3959,3.4812
"SABL_COMBO2022_NIR0022D_PRD_418_102155278_O1",2.0012,1.5892,2.328
"SABL_COMBO2022_NIR0022D_PRD_419_102155279_O1",4.0107,3.0843,5.1876
"SABL_COMBO2022_NIR0022D_PRD_420_102155280_O1",5.8572,4.379,6.9442
"SABL_COMBO2022_NIR0022D_PRD_421_102189561_O1",10.0802,8.391,12.5266
"SABL_COMBO2022_NIR0022D_PRD_422_102189562_O1",7.7261,6.3676,9.0731
"SABL_COMBO2022_NIR0022D_PRD_423_102189563_O1",3.8099,3.2072,4.6509
"SABL_COMBO2022_NIR0022D_PRD_424_102189564_O1",4.0938,3.1042,5.4244
"SABL_COMBO2022_NIR0022D_PRD_426_102189566_O1",11.3099,8.7468,13.8713
"SABL_COMBO2022_NIR0022D_PRD_427_102189567_O1",8.1569,6.3135,10.0999
"SABL_COMBO2022_NIR0022D_PRD_428_102189568_O1",2.5156,2.1437,3.0983
"SABL_COMBO2022_NIR0022D_PRD_429_102189569_O1",2.1823,1.8569,2.5417
"SABL_COMBO2022_NIR0022D_PRD_430_102189570_O1",2.0591,1.6746,2.3483
"SABL_COMBO2022_NIR0022D_PRD_431_102189571_O1",2.8267,2.1237,3.9329
"SABL_COMBO2022_NIR0022D_PRD_432_102189572_O1",2.1515,1.8172,2.4859
"SABL_COMBO2022_NIR0022D_PRD_433_102189573_O1",21.2788,19.1427,24.0459
"SABL_COMBO2022_NIR0022D_PRD_434_102189574_O1",17.7317,15.5878,20.5299
"SABL_COMBO2022_NIR0022D_PRD_435_102189575_O1",17.1684,14.7431,19.8951
"SABL_COMBO2022_NIR0022D_PRD_436_102189576_O1",20.7255,18.1843,23.7486
"SABL_COMBO2022_NIR0022D_PRD_437_102189577_O1",1.1097,0.8338,1.3931
"SABL_COMBO2022_NIR0022D_PRD_438_102189578_O1",65.505,60.0849,89.6009
"SABL_COMBO2022_NIR0022D_PRD_439_102189579_O1",18.4486,16.1172,21.525
"SABL_COMBO2022_NIR0022D_PRD_440_102189580_O1",25.196,22.3336,28.483
"SABL_COMBO2022_NIR0022D_PRD_443_102189583_O1",2.5822,2.1648,3.1777
"SABL_COMBO2022_NIR0022D_PRD_444_102189584_O1",9.8481,7.6295,12.0268
"SABL_COMBO2022_NIR0022D_PRD_445_102189585_O1",8.2842,7.1851,9.8999
"SABL_COMBO2022_NIR0022D_PRD_446_102189586_O1",12.3301,10.4719,14.6296
"SABL_COMBO2022_NIR0022D_PRD_447_102189587_O1",11.2195,8.7654,14.1509
"SABL_COMBO2022_NIR0022D_PRD_448_102189588_O1",7.0281,5.603,8.5597
"SABL_COMBO2022_NIR0022D_PRD_449_102189589_O1",12.3104,10.691,14.1801
"SABL_COMBO2022_NIR0022D_PRD_450_102189590_O1",13.3191,11.112,15.7515
"SABL_COMBO2022_NIR0022D_PRD_451_102189591_O1",7.3791,5.6892,9.3971
"SABL_COMBO2022_NIR0022D_PRD_452_102189592_O1",5.4299,4.117,6.8531
"SABL_COMBO2022_NIR0022D_PRD_453_102189593_O1",12.1432,10.1789,14.5638
"SABL_COMBO2022_NIR0022D_PRD_454_102189594_O1",6.5204,5.6728,7.6473
"SABL_COMBO2022_NIR0022D_PRD_456_102189596_O1",18.8023,16.8229,20.9789
"SABL_COMBO2022_NIR0022D_PRD_457_102189597_O1",11.7491,9.4918,14.1
"SABL_COMBO2022_NIR0022D_PRD_458_102189598_O1",11.4175,9.5308,13.9252
"SABL_COMBO2022_NIR0022D_PRD_459_102189599_O1",1.1877,0.9588,1.5812
"SABL_COMBO2022_NIR0022D_PRD_460_102189600_O1",2.0075,0.9626,2.6992
"SABL_COMBO2022_NIR0022D_PRD_461_102189601_O1",3.4234,2.4771,4.801
"SABL_COMBO2022_NIR0022D_PRD_462_102189602_O1",2.2709,1.9628,2.6805
"SABL_COMBO2022_NIR0022D_PRD_463_102189603_O1",1.885,1.4391,2.1925
"SABL_COMBO2022_NIR0022D_PRD_464_102189604_O1",2.4316,2.0464,3.0446
"SABL_COMBO2022_NIR0022D_PRD_465_102189605_O1",2.0492,1.7772,2.3469
"SABL_COMBO2022_NIR0022D_PRD_466_102189606_O1",1.0078,0.7804,1.2093
"SABL_COMBO2022_NIR0022D_PRD_468_102189608_O1",2.8811,2.2405,3.9323
"SABL_COMBO2022_NIR0022D_PRD_469_102189609_O1",3.6103,2.9356,4.4904
"SABL_COMBO2022_NIR0022D_PRD_470_102189610_O1",4.9325,2.655,6.2094
"SABL_COMBO2022_NIR0022D_PRD_471_102189611_O1",0.9197,0.6649,1.172
"SABL_COMBO2022_NIR0022D_PRD_472_102189612_O1",1.9788,1.6141,2.2943
"SABL_COMBO2022_NIR0022D_PRD_473_102189613_O1",1.0119,0.6318,1.2576
"SABL_COMBO2022_NIR0022D_PRD_474_102189614_O1",2.0509,1.7302,2.4414
"SABL_COMBO2022_NIR0022D_PRD_475_102189615_O1",0.9362,0.6199,1.1767
"SABL_COMBO2022_NIR0022D_PRD_476_102189616_O1",2.2482,1.855,2.6877
"SABL_COMBO2022_NIR0022D_PRD_477_102189617_O1",1.2494,1.0074,1.4975
"SABL_COMBO2022_NIR0022D_PRD_478_102189618_O1",1.0416,0.7777,1.2705
"SABL_COMBO2022_NIR0022D_PRD_479_102189619_O1",12.856,11.0438,15.0222
"SABL_COMBO2022_NIR0022D_PRD_480_102189620_O1",13.6677,11.2951,16.147
"SABL_COMBO2022_NIR0022D_PRD_481_102189621_O1",3.997,3.2758,4.6663
"SABL_COMBO2022_NIR0022D_PRD_482_102189622_O1",3.7869,3.1464,4.4323
"SABL_COMBO2022_NIR0022D_PRD_483_102189623_O1",2.2746,1.8527,2.9382
"SABL_COMBO2022_NIR0022D_PRD_484_102189624_O1",2.1739,1.7849,2.5751
"SABL_COMBO2022_NIR0022D_PRD_485_102189625_O1",2.1484,1.8301,2.4506
"SABL_COMBO2022_NIR0022D_PRD_486_102189626_O1",1.7563,1.4132,2.0777
"SABL_COMBO2022_NIR0022D_PRD_487_102189627_O1",1.2884,0.7212,1.5729
"SABL_COMBO2022_NIR0022D_PRD_489_102189629_O1",1.1523,0.8283,1.4154
"SABL_COMBO2022_NIR0022D_PRD_490_102189630_O1",1.7723,1.2664,2.1219
"SABL_COMBO2022_NIR0022D_PRD_492_102189632_O1",2.1371,1.8206,2.5758
"SABL_COMBO2022_NIR0022D_PRD_493_102189633_O1",2.6414,2.223,3.3519
"SABL_COMBO2022_NIR0022D_PRD_495_102189635_O1",2.0683,1.7634,2.3849
"SABL_COMBO2022_NIR0022D_PRD_496_102189636_O1",1.3306,1.0573,1.671
"SABL_COMBO2022_NIR0022D_PRD_497_102189637_O1",1.826,1.5449,2.1093
"SABL_COMBO2022_NIR0022D_PRD_498_102189638_O1",2.5017,2.0163,3.4715
"SABL_COMBO2022_NIR0022D_PRD_499_102189639_O1",2.2912,1.8217,2.8341
"SABL_COMBO2022_NIR0022D_PRD_500_102189640_O1",1.6221,1.2515,1.928
"SABL_COMBO2022_NIR0022D_PRD_501_102189641_O1",2.4285,2.054,3.0204
"SABL_COMBO2022_NIR0022D_PRD_502_102189642_O1",2.7121,2.2008,3.4363
"SABL_COMBO2022_NIR0022D_PRD_504_102189644_O1",5.9674,4.8908,6.9903
"SABL_COMBO2022_NIR0022D_PRD_505_102189645_O1",11.4994,9.4562,13.8042
"SABL_COMBO2022_NIR0022D_PRD_506_102189646_O1",10.1232,8.3241,11.8378
"SABL_COMBO2022_NIR0022D_PRD_507_102189647_O1",7.1253,5.6453,9.0065
"SABL_COMBO2022_NIR0022D_PRD_508_102189648_O1",6.3891,4.6139,8.3616
"SABL_COMBO2022_NIR0022D_PRD_509_102189649_O1",7.9781,6.5919,9.5507
"SABL_COMBO2022_NIR0022D_PRD_510_102189650_O1",10.908,9.3266,12.8141
"SABL_COMBO2022_NIR0022D_PRD_511_102189651_O1",6.3143,5.2078,7.5939
"SABL_COMBO2022_NIR0022D_PRD_512_102189652_O1",8.8077,7.4813,10.318
"SABL_COMBO2022_NIR0022D_PRD_513_102189653_O1",15.6909,13.9357,17.87
"SABL_COMBO2022_NIR0022D_PRD_514_102189654_O1",6.3582,5.2568,7.5495
"SABL_COMBO2022_NIR0022D_PRD_515_102189655_O1",12.9179,11.143,14.9323
"SABL_COMBO2022_NIR0022D_PRD_516_102189656_O1",9.2112,7.6911,10.8989
"SABL_COMBO2022_NIR0022D_PRD_517_102189657_O1",9.9198,8.1463,11.4772
"SABL_COMBO2022_NIR0022D_PRD_518_102189658_O1",8.3512,6.9196,9.8876
"SABL_COMBO2022_NIR0022D_PRD_519_102189659_O1",9.9762,8.0639,12.2231
"SABL_COMBO2022_NIR0022D_PRD_520_102189660_O1",12.081,10.3843,14.3307
"SABL_COMBO2022_NIR0022D_PRD_521_102189661_O1",8.7468,7.2785,10.6142
"SABL_COMBO2022_NIR0022D_PRD_522_102189662_O1",1.7717,1.3599,2.1987
"SABL_COMBO2022_NIR0022D_PRD_523_102189663_O1",1.8456,1.5378,2.1946
"SABL_COMBO2022_NIR0022D_PRD_524_102189664_O1",12.5766,10.3997,14.5227
"SABL_COMBO2022_NIR0022D_PRD_525_102189665_O1",8.6811,6.4692,11.3897
"SABL_COMBO2022_NIR0022D_PRD_528_102189668_O1",13.6657,12.255,15.4645
"SABL_COMBO2022_NIR0022D_PRD_529_102189669_O1",2.2304,1.9303,2.7927
"SABL_COMBO2022_NIR0022D_PRD_530_102189670_O1",9.0411,7.6126,10.6452
"SABL_COMBO2022_NIR0022E_PRD_531_102189671_O1",3.3713,2.4501,4.7551
"SABL_COMBO2022_NIR0022E_PRD_532_102189672_O1",2.0277,1.4839,2.3641
"SABL_COMBO2022_NIR0022E_PRD_534_102189674_O1",1.8234,1.5077,2.292
"SABL_COMBO2022_NIR0022E_PRD_535_102189675_O1",1.7213,1.4048,2.1104
"SABL_COMBO2022_NIR0022E_PRD_536_102189676_O1",2.1454,1.7319,2.8142
"SABL_COMBO2022_NIR0022E_PRD_537_102189677_O1",4.9111,3.823,6.1545
"SABL_COMBO2022_NIR0022E_PRD_538_102189678_O1",2.4798,1.804,3.2581
"SABL_COMBO2022_NIR0022E_PRD_539_102189679_O1",2.2925,1.9405,2.7147
"SABL_COMBO2022_NIR0022E_PRD_540_102189680_O1",2.5097,2.1197,3.1141
"SABL_COMBO2022_NIR0022E_PRD_541_102189681_O1",2.6533,2.228,3.1667
"SABL_COMBO2022_NIR0022E_PRD_542_102189682_O1",2.3688,1.9792,2.9187
"SABL_COMBO2022_NIR0022E_PRD_543_102189683_O1",8.482,6.957,9.798
"SABL_COMBO2022_NIR0022E_PRD_544_102189684_O1",1.9515,1.6332,2.4808
"SABL_COMBO2022_NIR0022E_PRD_545_102189685_O1",2.5187,2.0717,3.2176
"SABL_COMBO2022_NIR0022E_PRD_546_102189686_O1",1.463,1.1314,1.7428
"SABL_COMBO2022_NIR0022E_PRD_547_102189687_O1",1.7271,1.433,1.9862
"SABL_COMBO2022_NIR0022E_PRD_548_102189688_O1",7.7607,6.6233,9.1152
"SABL_COMBO2022_NIR0022E_PRD_549_102189689_O1",2.4432,2.0222,3.0347
"SABL_COMBO2022_NIR0022E_PRD_550_102189690_O1",2.3603,1.8926,3.4503
"SABL_COMBO2022_NIR0022E_PRD_551_102133141_O1",7.2801,6.1902,8.7184
"SABL_COMBO2022_NIR0022E_PRD_552_102133142_O1",5.1923,4.0135,6.3839
"SABL_COMBO2022_NIR0022E_PRD_553_102133143_O1",7.0027,5.9256,8.1778
"SABL_COMBO2022_NIR0022E_PRD_554_102133144_O1",2.3364,1.9599,2.9742
"SABL_COMBO2022_NIR0022E_PRD_555_102133145_O1",2.1294,1.8452,2.5525
"SABL_COMBO2022_NIR0022E_PRD_556_102133146_O1",1.4542,1.1785,1.7726
"SABL_COMBO2022_NIR0022E_PRD_557_102133147_O1",1.1885,0.6643,1.5567
"SABL_COMBO2022_NIR0022E_PRD_558_102133148_O1",1.8932,1.45,2.2319
"SABL_COMBO2022_NIR0022E_PRD_559_102133149_O1",1.5087,1.2203,1.8778
"SABL_COMBO2022_NIR0022E_PRD_560_102133150_O1",9.6557,8.4027,11.48
"SABL_COMBO2022_NIR0022E_PRD_561_102133151_O1",4.7531,3.6445,5.8465
"SABL_COMBO2022_NIR0022E_PRD_562_102133152_O1",2.8088,2.358,3.5125
"SABL_COMBO2022_NIR0022E_PRD_563_102133153_O1",6.0798,4.8851,7.4965
"SABL_COMBO2022_NIR0022E_PRD_564_102133154_O1",1.9866,1.651,2.2904
"SABL_COMBO2022_NIR0022E_PRD_565_102133155_O1",4.9785,4.088,5.7439
"SABL_COMBO2022_NIR0022E_PRD_566_102133156_O1",3.0908,2.5678,3.8314
"SABL_COMBO2022_NIR0022E_PRD_567_102133157_O1",3.8241,2.7781,4.9174
"SABL_COMBO2022_NIR0022E_PRD_568_102133158_O1",10.7269,9.3216,12.1668
"SABL_COMBO2022_NIR0022E_PRD_569_102133159_O1",6.2346,5.0417,7.6975
"SABL_COMBO2022_NIR0022E_PRD_570_102133160_O1",2.0417,1.6592,2.663
"SABL_COMBO2022_NIR0022E_PRD_571_102133161_O1",7.4607,6.0577,8.9636
"SABL_COMBO2022_NIR0022E_PRD_572_102133162_O1",7.5905,6.2717,9.1269
"SABL_COMBO2022_NIR0022E_PRD_573_102133163_O1",6.0108,5.2019,7.0998
"SABL_COMBO2022_NIR0022E_PRD_574_102133164_O1",6.1346,5.0845,7.2755
"SABL_COMBO2022_NIR0022E_PRD_575_102133165_O1",6.5842,5.6845,7.6802
"SABL_COMBO2022_NIR0022E_PRD_576_102133166_O1",4.9833,3.3673,6.8637
"SABL_COMBO2022_NIR0022E_PRD_577_102133167_O1",4.7622,4.0155,5.5094
"SABL_COMBO2022_NIR0022E_PRD_578_102133168_O1",11.5917,9.8677,13.2298
"SABL_COMBO2022_NIR0022E_PRD_579_102133169_O1",12.9027,10.7292,14.6991
"SABL_COMBO2022_NIR0022E_PRD_580_102133170_O1",8.6344,7.2387,10.1905
"SABL_COMBO2022_NIR0022E_PRD_581_102133171_O1",4.9621,4.2121,5.7751
"SABL_COMBO2022_NIR0022E_PRD_582_102133172_O1",10.9003,9.1182,12.7314
"SABL_COMBO2022_NIR0022E_PRD_583_102133173_O1",5.6236,4.6704,6.7758
"SABL_COMBO2022_NIR0022E_PRD_584_102133174_O1",9.6824,7.6604,11.3153
"SABL_COMBO2022_NIR0022E_PRD_585_102133175_O1",7.4088,6.2916,8.9251
"SABL_COMBO2022_NIR0022E_PRD_586_102133176_O1",16.4532,14.4673,19.0763
"SABL_COMBO2022_NIR0022E_PRD_587_102133177_O1",13.1167,10.708,15.1339
"SABL_COMBO2022_NIR0022E_PRD_588_102133178_O1",14.5595,12.3011,16.8988
"SABL_COMBO2022_NIR0022E_PRD_589_102133179_O1",13.0218,11.3219,14.7488
"SABL_COMBO2022_NIR0022E_PRD_590_102133180_O1",17.9767,15.1224,20.3994
"SABL_COMBO2022_NIR0022E_PRD_591_102133181_O1",7.0513,5.8455,8.5203
"SABL_COMBO2022_NIR0022E_PRD_592_102133182_O1",11.973,9.6949,13.9413
"SABL_COMBO2022_NIR0022E_PRD_593_102133183_O1",6.5816,5.6191,7.8013
"SABL_COMBO2022_NIR0022E_PRD_594_102133184_O1",4.358,3.4,5.316
"SABL_COMBO2022_NIR0022E_PRD_597_102133187_O1",9.3735,7.3961,11.4375
"SABL_COMBO2022_NIR0022E_PRD_599_102133189_O1",7.1608,5.7297,8.9351
"SABL_COMBO2022_NIR0022E_PRD_600_102133190_O1",41.6783,28.786,48.9803
"SABL_COMBO2022_NIR0022E_PRD_601_102133191_O1",31.7714,23.1488,37.6485
"SABL_COMBO2022_NIR0022E_PRD_602_102133192_O1",9.5865,7.8202,11.3513
"SABL_COMBO2022_NIR0022E_PRD_603_102133193_O1",8.4937,6.8808,10.6208
"SABL_COMBO2022_NIR0022E_PRD_604_102133194_O1",2.0354,1.7088,2.4186
"SABL_COMBO2022_NIR0022E_PRD_605_102133195_O1",2.0102,1.7359,2.3163
"SABL_COMBO2022_NIR0022E_PRD_606_102133196_O1",5.4279,4.6854,6.4719
"SABL_COMBO2022_NIR0022E_PRD_607_102133197_O1",2.2487,1.8267,2.6693
"SABL_COMBO2022_NIR0022E_PRD_608_102133198_O1",2.1819,1.8372,2.5172
"SABL_COMBO2022_NIR0022E_PRD_609_102133199_O1",2.3021,1.9833,2.77
"SABL_COMBO2022_NIR0022E_PRD_610_102133200_O1",5.3753,3.9865,6.2901
"SABL_COMBO2022_NIR0022E_PRD_612_102133202_O1",7.8219,6.4736,9.1636
"SABL_COMBO2022_NIR0022E_PRD_613_102133203_O1",10.3566,8.7389,11.8738
"SABL_COMBO2022_NIR0022E_PRD_614_102133204_O1",3.5387,2.8779,4.3507
"SABL_COMBO2022_NIR0022E_PRD_615_102133205_O1",5.6041,4.6318,6.8289
"SABL_COMBO2022_NIR0022E_PRD_616_102133206_O1",3.1192,2.1047,6.0173
"SABL_COMBO2022_NIR0022E_PRD_617_102133207_O1",12.4515,10.6541,14.0633
"SABL_COMBO2022_NIR0022E_PRD_618_102133208_O1",5.4989,4.4026,6.8941
"SABL_COMBO2022_NIR0022E_PRD_619_102133209_O1",7.5986,6.3449,8.8426
"SABL_COMBO2022_NIR0022E_PRD_620_102133210_O1",2.0278,1.7391,2.4455
"SABL_COMBO2022_NIR0022E_PRD_621_102133211_O1",8.7558,7.1731,10.3598
"SABL_COMBO2022_NIR0022E_PRD_622_102133212_O1",1.7808,1.5273,2.057
"SABL_COMBO2022_NIR0022E_PRD_623_102133213_O1",2.2244,1.9162,2.6961
"SABL_COMBO2022_NIR0022E_PRD_625_102133215_O1",1.5941,1.3496,1.852
"SABL_COMBO2022_NIR0022E_PRD_626_102133216_O1",1.229,0.8279,1.4783
"SABL_COMBO2022_NIR0022E_PRD_627_102133217_O1",0.0044,0,0.455
"SABL_COMBO2022_NIR0022E_PRD_628_102133218_O1",0.0455,0,0.4742
"SABL_COMBO2022_NIR0022E_PRD_629_102133219_O1",1.0755,0.7994,1.2886
"SABL_COMBO2022_NIR0022E_PRD_630_102133220_O1",1.3476,1.1095,1.5883
"SABL_COMBO2022_NIR0022E_PRD_631_102133221_O1",1.0634,0.8044,1.3555
"SABL_COMBO2022_NIR0022E_PRD_632_102133222_O1",0.8204,0.3495,1.0413
"SABL_COMBO2022_NIR0022E_PRD_633_102133223_O1",1.3373,0.8025,1.6494
"SABL_COMBO2022_NIR0022E_PRD_634_102133224_O1",2.316,1.9608,2.7011
"SABL_COMBO2022_NIR0022E_PRD_636_102133226_O1",17.6221,15.6301,19.7781
"SABL_COMBO2022_NIR0022E_PRD_637_102133227_O1",12.2165,10.6214,14.0096
"SABL_COMBO2022_NIR0022E_PRD_638_102133228_O1",8.0535,6.4692,9.5934
"SABL_COMBO2022_NIR0022E_PRD_639_102133229_O1",7.9314,6.4788,9.4959
"SABL_COMBO2022_NIR0022E_PRD_640_102133230_O1",2.0324,1.7488,2.3991
"SABL_COMBO2022_NIR0022F_PRD_641_102133231_O1",6.2883,4.7295,8.3493
"SABL_COMBO2022_NIR0022F_PRD_642_102133232_O1",1.9038,1.2581,2.3722
